Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
11,Lung,55400,New Zealand,1,1,1950,16.67882175,18.45661028,,177
11,Lung,55400,New Zealand,1,1,1951,19.56730083,21.43681804,,210
11,Lung,55400,New Zealand,1,1,1952,21.95865436,24.13579878,,242
11,Lung,55400,New Zealand,1,1,1953,21.87252659,23.66467448,,243
11,Lung,55400,New Zealand,1,1,1954,23.67319889,25.11207691,,264
11,Lung,55400,New Zealand,1,1,1955,26.52484892,27.89750457,,300
11,Lung,55400,New Zealand,1,1,1956,26.80205375,28.57525074,,314
11,Lung,55400,New Zealand,1,1,1957,30.21267404,31.82263472,,357
11,Lung,55400,New Zealand,1,1,1958,28.88340505,29.96418276,,343
11,Lung,55400,New Zealand,1,1,1959,30.06745217,31.25040133,,365
11,Lung,55400,New Zealand,1,1,1960,27.99893197,28.85298482,,344
11,Lung,55400,New Zealand,1,1,1961,32.38530206,32.68497189,,398
11,Lung,55400,New Zealand,1,1,1962,34.89938489,35.29026849,,439
11,Lung,55400,New Zealand,1,1,1963,36.5130532,36.68843566,,466
11,Lung,55400,New Zealand,1,1,1964,37.43843806,36.91438951,,478
11,Lung,55400,New Zealand,1,1,1965,37.77679172,37.12101832,,489
11,Lung,55400,New Zealand,1,1,1966,40.94406201,40.84741173,,546
11,Lung,55400,New Zealand,1,1,1967,37.27969997,37.60762319,,509
11,Lung,55400,New Zealand,1,1,1968,45.14801721,45.78610804,,627
11,Lung,55400,New Zealand,1,1,1969,46.16235316,46.49925493,,645
11,Lung,55400,New Zealand,1,1,1970,47.08900972,48.28729235,,680
11,Lung,55400,New Zealand,1,1,1971,46.09035278,47.42820555,,680
11,Lung,55400,New Zealand,1,1,1972,42.35276078,43.48340349,,636
11,Lung,55400,New Zealand,1,1,1973,45.30339185,46.78255962,,698
11,Lung,55400,New Zealand,1,1,1974,48.66726284,50.20245689,,762
11,Lung,55400,New Zealand,1,1,1975,49.62057295,51.32094519,,789
11,Lung,55400,New Zealand,1,1,1976,51.56691847,54.46985152,,844
11,Lung,55400,New Zealand,1,1,1977,50.15303362,53.17097006,,827
11,Lung,55400,New Zealand,1,1,1978,48.37673613,52.0708266,,811
11,Lung,55400,New Zealand,1,1,1979,49.69852547,55.08200422,,859
11,Lung,55400,New Zealand,1,1,1980,48.95186049,55.49818896,,868
11,Lung,55400,New Zealand,1,1,1981,49.66270751,56.54950085,,889
11,Lung,55400,New Zealand,1,1,1982,46.36151426,53.31837387,,844
11,Lung,55400,New Zealand,1,1,1983,51.24608032,59.41804165,,948
11,Lung,55400,New Zealand,1,1,1984,51.30434822,60.64209718,,975
11,Lung,55400,New Zealand,1,1,1985,45.6372314,53.50044913,,866
11,Lung,55400,New Zealand,1,1,1986,48.33413696,58.30993358,,949
11,Lung,55400,New Zealand,1,1,1987,47.77687466,58.09875198,,950
11,Lung,55400,New Zealand,1,1,1988,44.45758717,54.27325856,,892
11,Lung,55400,New Zealand,1,1,1989,43.20187784,54.12566215,,896
11,Lung,55400,New Zealand,1,1,1990,42.46714208,53.98974016,,903
11,Lung,55400,New Zealand,1,1,1991,40.47638035,51.23932539,,869
11,Lung,55400,New Zealand,1,1,1992,42.49061541,54.91023308,,947
11,Lung,55400,New Zealand,1,1,1993,38.96882542,50.80354463,,892
11,Lung,55400,New Zealand,1,1,1994,38.38100093,51.47112772,,919
11,Lung,55400,New Zealand,1,1,1995,37.41243003,49.25580661,,892
11,Lung,55400,New Zealand,1,1,1996,36.75256351,49.20617497,,901
11,Lung,55400,New Zealand,1,1,1997,35.06993701,47.75598317,,882
11,Lung,55400,New Zealand,1,1,1998,33.16419186,45.95247386,,855
11,Lung,55400,New Zealand,1,1,1999,32.60983681,46.5999871,,874
11,Lung,55400,New Zealand,1,1,2000,31.4225278,45.40695455,,860
11,Lung,55400,New Zealand,1,1,2001,29.99138781,43.87861953,,841
11,Lung,55400,New Zealand,1,1,2002,29.56479588,44.57892477,,866
11,Lung,55400,New Zealand,1,1,2003,28.36711065,43.03115953,,848
11,Lung,55400,New Zealand,1,1,2004,30.68244213,46.47725891,,929
11,Lung,55400,New Zealand,1,1,2005,27.47740823,42.65091216,,864
