Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
11,Lung,41000,Republic of Korea,1,1,1985,17.22131103,10.59745631,,2166
11,Lung,41000,Republic of Korea,1,1,1986,19.16175877,11.73140094,,2425
11,Lung,41000,Republic of Korea,1,1,1987,20.36406353,12.91864081,,2698
11,Lung,41000,Republic of Korea,1,1,1988,22.67956759,14.50562424,,3059
11,Lung,41000,Republic of Korea,1,1,1989,25.08496817,16.29471514,,3470
11,Lung,41000,Republic of Korea,1,1,1990,26.49458718,17.48616771,,3762
11,Lung,41000,Republic of Korea,1,1,1991,28.62214079,19.4320677,,4226
11,Lung,41000,Republic of Korea,1,1,1992,32.88981092,22.64942836,,4981
11,Lung,41000,Republic of Korea,1,1,1993,35.16150906,24.53054424,,5456
11,Lung,41000,Republic of Korea,1,1,1994,38.44527886,27.28804984,,6137
11,Lung,41000,Republic of Korea,1,1,1995,38.65647594,28.09527333,,6386
11,Lung,41000,Republic of Korea,1,1,1996,40.42579342,30.03363977,,6896
11,Lung,41000,Republic of Korea,1,1,1997,40.27216757,30.88405255,,7160
11,Lung,41000,Republic of Korea,1,1,1998,38.90240527,30.84459564,,7216
11,Lung,41000,Republic of Korea,1,1,1999,40.39873162,32.97367904,,7779
11,Lung,41000,Republic of Korea,1,1,2000,43.19475989,36.29072984,,8627
11,Lung,41000,Republic of Korea,1,1,2001,42.85200812,37.23341209,,8912
11,Lung,41000,Republic of Korea,1,1,2002,42.54111195,38.46724473,,9264
11,Lung,41000,Republic of Korea,1,1,2003,41.2918454,38.60985524,,9349
11,Lung,41000,Republic of Korea,1,1,2004,41.57197481,40.52670912,,9860
11,Lung,41000,Republic of Korea,1,1,2005,40.95825408,41.53340326,,10147
11,Lung,41000,Republic of Korea,1,1,2006,40.29318908,42.80902066,,10495
11,Lung,41000,Republic of Korea,1,1,2007,38.68759848,43.0521182,,10585
11,Lung,41000,Republic of Korea,1,1,2008,37.98485195,44.20940729,,10899
11,Lung,41000,Republic of Korea,1,1,2009,36.09591566,44.04458532,,10892
11,Lung,41000,Republic of Korea,1,1,2010,36.11169364,45.98659597,,11416
11,Lung,41000,Republic of Korea,1,1,2011,34.47039287,46.1160119,,11503
11,Lung,41000,Republic of Korea,1,1,2012,34.58263667,48.54125069,,12175
11,Lung,41000,Republic of Korea,1,1,2013,33.75377216,49.62682955,,12519
11,Lung,41000,Republic of Korea,1,1,2014,32.99662536,50.41649705,,12785
11,Lung,41000,Republic of Korea,1,1,2015,31.15454944,49.78005204,,12677
11,Lung,41000,Republic of Korea,1,1,2016,31.01774804,52.15755441,,13323
11,Lung,41000,Republic of Korea,1,1,2017,29.26492138,51.85166751,,13272
11,Lung,41000,Republic of Korea,1,1,2018,27.54067871,51.45467039,,13187
11,Lung,41000,Republic of Korea,2,1,1985,4.371205422,3.667960863,,747
11,Lung,41000,Republic of Korea,2,1,1986,4.756625039,4.103115916,,845
11,Lung,41000,Republic of Korea,2,1,1987,4.886090204,4.230359211,,880
11,Lung,41000,Republic of Korea,2,1,1988,5.521742518,4.971832,,1044
11,Lung,41000,Republic of Korea,2,1,1989,5.764343093,5.284027818,,1120
11,Lung,41000,Republic of Korea,2,1,1990,6.295875414,5.919380191,,1267
11,Lung,41000,Republic of Korea,2,1,1991,6.253266984,6.043765463,,1307
11,Lung,41000,Republic of Korea,2,1,1992,7.842175275,7.736829569,,1691
11,Lung,41000,Republic of Korea,2,1,1993,8.27820146,8.46407462,,1870
11,Lung,41000,Republic of Korea,2,1,1994,8.83594607,9.220625613,,2059
11,Lung,41000,Republic of Korea,2,1,1995,8.971266045,9.635363539,,2174
11,Lung,41000,Republic of Korea,2,1,1996,9.588662108,10.58354146,,2412
11,Lung,41000,Republic of Korea,2,1,1997,9.714917618,11.02875515,,2538
11,Lung,41000,Republic of Korea,2,1,1998,8.967820573,10.59588392,,2461
11,Lung,41000,Republic of Korea,2,1,1999,9.260078735,11.33811629,,2656
11,Lung,41000,Republic of Korea,2,1,2000,9.990062707,12.70791957,,3000
11,Lung,41000,Republic of Korea,2,1,2001,9.892099732,12.98234994,,3086
11,Lung,41000,Republic of Korea,2,1,2002,10.26022806,14.03620329,,3357
11,Lung,41000,Republic of Korea,2,1,2003,9.896876328,14.08083112,,3386
11,Lung,41000,Republic of Korea,2,1,2004,9.712088265,14.26100199,,3446
11,Lung,41000,Republic of Korea,2,1,2005,9.921210017,15.10086616,,3665
11,Lung,41000,Republic of Korea,2,1,2006,9.332862751,14.82068976,,3611
11,Lung,41000,Republic of Korea,2,1,2007,9.278914914,15.35482949,,3754
11,Lung,41000,Republic of Korea,2,1,2008,9.279409573,15.86671697,,3892
11,Lung,41000,Republic of Korea,2,1,2009,9.170506174,16.35797405,,4027
11,Lung,41000,Republic of Korea,2,1,2010,9.056927139,17.02195618,,4208
11,Lung,41000,Republic of Korea,2,1,2011,9.016670642,17.56664244,,4364
11,Lung,41000,Republic of Korea,2,1,2012,8.853724117,17.93114895,,4479
11,Lung,41000,Republic of Korea,2,1,2013,8.836425234,18.54340259,,4658
11,Lung,41000,Republic of Korea,2,1,2014,8.448226196,18.43627076,,4655
11,Lung,41000,Republic of Korea,2,1,2015,8.236336996,18.62203048,,4722
11,Lung,41000,Republic of Korea,2,1,2016,7.681538253,18.23528725,,4639
11,Lung,41000,Republic of Korea,2,1,2017,7.361619307,18.46251558,,4708
11,Lung,41000,Republic of Korea,2,1,2018,6.977950096,18.2591791,,4664
