Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
11,Lung,70200,Singapore,1,1,1963,29.99000746,15.8183579,,147
11,Lung,70200,Singapore,1,1,1964,28.79317764,15.24069792,,145
11,Lung,70200,Singapore,1,1,1965,31.12284271,15.09550216,,147
11,Lung,70200,Singapore,1,1,1966,31.28653822,13.85820446,,138
11,Lung,70200,Singapore,1,1,1967,32.99621688,15.92294083,,162
11,Lung,70200,Singapore,1,1,1968,32.99644872,17.50314283,,181
11,Lung,70200,Singapore,1,1,1969,33.10921119,16.33237822,,171
11,Lung,70200,Singapore,1,1,1970,36.76875732,20.52344191,,218
11,Lung,70200,Singapore,1,1,1971,39.75159284,22.87672502,,247
11,Lung,70200,Singapore,1,1,1972,44.4312796,23.58834244,,259
11,Lung,70200,Singapore,1,1,1973,38.948707,23.37452982,,261
11,Lung,70200,Singapore,1,1,1974,46.17553876,25.85826494,,293
11,Lung,70200,Singapore,1,1,1975,46.9789544,27.34715206,,314
11,Lung,70200,Singapore,1,1,1976,52.10041568,30.29259897,,352
11,Lung,70200,Singapore,1,1,1977,53.1915155,31.78380216,,374
11,Lung,70200,Singapore,1,1,1978,50.69985503,31.35771332,,373
11,Lung,70200,Singapore,1,1,1979,60.9914606,37.63083569,,453
11,Lung,70200,Singapore,1,1,1980,55.05811605,35.63890242,,439
11,Lung,70200,Singapore,1,1,1981,56.88058635,36.66853888,,457
11,Lung,70200,Singapore,1,1,1982,52.98887435,35.93811979,,453
11,Lung,70200,Singapore,1,1,1983,58.13364734,38.88671109,,496
11,Lung,70200,Singapore,1,1,1984,54.6560472,37.40203306,,482
11,Lung,70200,Singapore,1,1,1985,54.46681923,37.99217131,,495
11,Lung,70200,Singapore,1,1,1986,49.8701024,36.1454932,,476
11,Lung,70200,Singapore,1,1,1987,59.50282108,42.70034581,,568
11,Lung,70200,Singapore,1,1,1988,45.91582341,34.86252468,,459
11,Lung,70200,Singapore,1,1,1989,56.32180028,43.16707672,,579
11,Lung,70200,Singapore,1,1,1990,47.91118423,37.87059078,,525
11,Lung,70200,Singapore,1,1,1991,49.82454312,40.58831848,,574
11,Lung,70200,Singapore,1,1,1992,47.82301029,38.63525815,,556
11,Lung,70200,Singapore,1,1,1993,42.67406765,35.37768064,,518
11,Lung,70200,Singapore,1,1,1994,44.02246427,37.46978243,,558
11,Lung,70200,Singapore,1,1,1995,44.41915815,38.37769998,,581
11,Lung,70200,Singapore,1,1,1996,44.45889626,38.8961039,,599
11,Lung,70200,Singapore,1,1,1997,43.36374375,38.70226083,,606
11,Lung,70200,Singapore,1,1,1998,45.11805741,41.14838548,,655
11,Lung,70200,Singapore,1,1,1999,45.30595204,42.10787046,,680
11,Lung,70200,Singapore,1,1,2000,40.9826054,39.27806669,,642
11,Lung,70200,Singapore,1,1,2001,38.60061169,37.97926212,,630
11,Lung,70200,Singapore,1,1,2002,38.53583316,38.47295612,,648
11,Lung,70200,Singapore,1,1,2003,35.11129438,36.44127281,,623
11,Lung,70200,Singapore,1,1,2004,37.16094366,40.4483994,,700
11,Lung,70200,Singapore,1,1,2005,34.79978737,38.67811842,,680
11,Lung,70200,Singapore,1,1,2006,33.29700794,38.99082569,,697
11,Lung,70200,Singapore,1,1,2007,33.87580863,38.5806815,,685
11,Lung,70200,Singapore,1,1,2008,35.47128163,42.26289517,,762
11,Lung,70200,Singapore,1,1,2009,32.19562572,40.11494558,,740
11,Lung,70200,Singapore,1,1,2010,29.93426678,38.31479392,,713
11,Lung,70200,Singapore,1,1,2011,28.67293814,38.76010493,,724
11,Lung,70200,Singapore,1,1,2012,29.44809981,41.16583342,,774
11,Lung,70200,Singapore,1,1,2013,28.79837344,42.55872575,,805
11,Lung,70200,Singapore,1,1,2014,27.93028702,43.52374094,,828
11,Lung,70200,Singapore,1,1,2015,26.46514285,43.0965216,,826
11,Lung,70200,Singapore,1,1,2016,24.66771154,41.40913364,,799
11,Lung,70200,Singapore,1,1,2017,23.48322643,41.36770695,,804
11,Lung,70200,Singapore,2,1,1963,11.22865047,6.353974122,,55
11,Lung,70200,Singapore,2,1,1964,9.029963743,4.830917874,,43
11,Lung,70200,Singapore,2,1,1965,10.89745578,6.023436644,,55
11,Lung,70200,Singapore,2,1,1966,13.22228359,7.24483273,,68
11,Lung,70200,Singapore,2,1,1967,12.13160969,6.977712976,,67
11,Lung,70200,Singapore,2,1,1968,13.32093169,7.568009818,,74
11,Lung,70200,Singapore,2,1,1969,10.57901884,5.926074729,,59
11,Lung,70200,Singapore,2,1,1970,10.97561132,6.816161217,,69
11,Lung,70200,Singapore,2,1,1971,13.35126127,8.440865431,,87
11,Lung,70200,Singapore,2,1,1972,12.19156491,7.813988946,,82
11,Lung,70200,Singapore,2,1,1973,12.93138895,8.516612073,,91
11,Lung,70200,Singapore,2,1,1974,16.20417205,10.86556169,,118
11,Lung,70200,Singapore,2,1,1975,12.95159765,8.623037124,,95
11,Lung,70200,Singapore,2,1,1976,15.15459376,10.30281312,,115
11,Lung,70200,Singapore,2,1,1977,16.63900671,11.66077739,,132
11,Lung,70200,Singapore,2,1,1978,17.89480027,12.65933298,,145
11,Lung,70200,Singapore,2,1,1979,15.31645882,11.21269622,,130
