Cancer id,Cancer label,Population id,Country label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total
11,Lung,39200,Japan,1,1,1950,2.726817321,1.943230145,,789
11,Lung,39200,Japan,1,1,1951,2.717393486,1.955024481,,809
11,Lung,39200,Japan,1,1,1952,3.508693736,2.576804217,,1084
11,Lung,39200,Japan,1,1,1953,3.895297012,2.890988508,,1234
11,Lung,39200,Japan,1,1,1954,4.947312321,3.697254468,,1599
11,Lung,39200,Japan,1,1,1955,5.854583029,4.324507181,,1893
11,Lung,39200,Japan,1,1,1956,6.962998202,5.235840153,,2318
11,Lung,39200,Japan,1,1,1957,7.479980145,5.738525301,,2568
11,Lung,39200,Japan,1,1,1958,8.393018354,6.455969821,,2919
11,Lung,39200,Japan,1,1,1959,9.351386774,7.289878504,,3329
11,Lung,39200,Japan,1,1,1960,10.02966991,7.889983869,,3638
11,Lung,39200,Japan,1,1,1961,10.57660891,8.44727505,,3932
11,Lung,39200,Japan,1,1,1962,11.37489811,9.227584954,,4336
11,Lung,39200,Japan,1,1,1963,12.19190755,10.04899051,,4768
11,Lung,39200,Japan,1,1,1964,12.73669983,10.5702772,,5067
11,Lung,39200,Japan,1,1,1965,13.22116061,11.15001995,,5404
11,Lung,39200,Japan,1,1,1966,13.95053977,11.94334446,,5857
11,Lung,39200,Japan,1,1,1967,14.63677714,12.67960159,,6296
11,Lung,39200,Japan,1,1,1968,15.11111565,13.24615308,,6664
11,Lung,39200,Japan,1,1,1969,15.87200498,14.13544656,,7209
11,Lung,39200,Japan,1,1,1970,16.09165156,14.50482543,,7502
11,Lung,39200,Japan,1,1,1971,16.73600168,15.32558084,,8042
11,Lung,39200,Japan,1,1,1972,17.84251316,16.5941777,,8837
11,Lung,39200,Japan,1,1,1973,18.16916476,17.12990417,,9256
11,Lung,39200,Japan,1,1,1974,19.06085656,18.22781368,,9986
11,Lung,39200,Japan,1,1,1975,19.78839472,19.30381155,,10710
11,Lung,39200,Japan,1,1,1976,20.59048255,20.38717164,,11440
11,Lung,39200,Japan,1,1,1977,21.79782036,22.12379311,,12541
11,Lung,39200,Japan,1,1,1978,22.45615999,23.45337802,,13417
11,Lung,39200,Japan,1,1,1979,23.67862325,25.30513355,,14600
11,Lung,39200,Japan,1,1,1980,24.3262047,26.54203361,,15438
11,Lung,39200,Japan,1,1,1981,25.29359514,28.38334428,,16637
11,Lung,39200,Japan,1,1,1982,25.73974485,29.73219817,,17555
11,Lung,39200,Japan,1,1,1983,26.48870499,31.36142955,,18643
11,Lung,39200,Japan,1,1,1984,27.44385683,33.2308444,,19877
11,Lung,39200,Japan,1,1,1985,27.87542894,34.64301452,,20837
11,Lung,39200,Japan,1,1,1986,27.71857576,35.47954908,,21445
11,Lung,39200,Japan,1,1,1987,28.83134367,38.1039133,,23131
11,Lung,39200,Japan,1,1,1988,29.36944117,39.92987387,,24333
11,Lung,39200,Japan,1,1,1989,30.23767579,42.30259552,,25870
11,Lung,39200,Japan,1,1,1990,30.39153678,43.79594687,,26872
11,Lung,39200,Japan,1,1,1991,30.48257098,45.43760367,,27967
11,Lung,39200,Japan,1,1,1992,30.79369844,47.32962614,,29218
11,Lung,39200,Japan,1,1,1993,31.00561674,49.09945297,,30394
11,Lung,39200,Japan,1,1,1994,31.28834037,51.11350461,,31719
11,Lung,39200,Japan,1,1,1995,31.85865647,53.68582097,,33387
11,Lung,39200,Japan,1,1,1996,32.20722658,56.21218113,,35022
11,Lung,39200,Japan,1,1,1997,31.62846353,57.21057677,,35699
11,Lung,39200,Japan,1,1,1998,31.53918692,59.02369441,,36879
11,Lung,39200,Japan,1,1,1999,31.19063777,60.63731429,,37932
11,Lung,39200,Japan,1,1,2000,31.09061889,62.3573124,,39051
11,Lung,39200,Japan,1,1,2001,30.54722583,63.65110917,,39903
11,Lung,39200,Japan,1,1,2002,30.28600584,65.56674406,,41144
11,Lung,39200,Japan,1,1,2003,29.46982939,66.28652436,,41632
11,Lung,39200,Japan,1,1,2004,30.09133976,69.87088071,,43915
11,Lung,39200,Japan,1,1,2005,29.87912778,71.85748416,,45188
11,Lung,39200,Japan,1,1,2006,29.323297,73.0250018,,45938
11,Lung,39200,Japan,1,1,2007,29.31597448,75.78568523,,47682
11,Lung,39200,Japan,1,1,2008,29.02059106,77.2555485,,48605
11,Lung,39200,Japan,1,1,2009,28.40841792,77.95012925,,49031
11,Lung,39200,Japan,1,1,2010,28.43932005,80.14376701,,50390
11,Lung,39200,Japan,1,1,2011,27.86222408,80.81311682,,50780
11,Lung,39200,Japan,1,1,2012,27.49358113,81.82050244,,51371
11,Lung,39200,Japan,1,1,2013,27.19663447,82.98753599,,52049
11,Lung,39200,Japan,1,1,2014,26.7272359,83.81656644,,52500
11,Lung,39200,Japan,1,1,2015,26.38464201,85.07158471,,53201
11,Lung,39200,Japan,1,1,2016,25.18212034,83.99416982,,52428
11,Lung,39200,Japan,1,1,2017,24.52126426,85.09330729,,52998
11,Lung,39200,Japan,1,1,2018,23.61644901,84.34244122,,52399
11,Lung,39200,Japan,2,1,1950,0.964219375,0.7819982116,,330
11,Lung,39200,Japan,2,1,1951,1.110963113,0.9013476405,,387
11,Lung,39200,Japan,2,1,1952,1.380231416,1.137827996,,496
11,Lung,39200,Japan,2,1,1953,1.425789759,1.172327185,,518
11,Lung,39200,Japan,2,1,1954,1.85952429,1.53133311,,685
11,Lung,39200,Japan,2,1,1955,2.147863631,1.807955317,,818
11,Lung,39200,Japan,2,1,1956,2.556263466,2.184447247,,999
11,Lung,39200,Japan,2,1,1957,2.726767505,2.348299882,,1085
11,Lung,39200,Japan,2,1,1958,3.318367107,2.897328845,,1352
11,Lung,39200,Japan,2,1,1959,3.39236786,2.99260216,,1410
11,Lung,39200,Japan,2,1,1960,3.584850299,3.22299065,,1533
11,Lung,39200,Japan,2,1,1961,4.017611017,3.678158315,,1766
11,Lung,39200,Japan,2,1,1962,4.202623517,3.901464883,,1891
11,Lung,39200,Japan,2,1,1963,4.258916569,4.021096865,,1968
11,Lung,39200,Japan,2,1,1964,4.438581037,4.257419134,,2105
11,Lung,39200,Japan,2,1,1965,4.703044261,4.643790088,,2321
11,Lung,39200,Japan,2,1,1966,4.988638623,4.960814903,,2508
11,Lung,39200,Japan,2,1,1967,4.954917294,5.014879887,,2566
11,Lung,39200,Japan,2,1,1968,5.048617848,5.205050825,,2697
11,Lung,39200,Japan,2,1,1969,5.287992388,5.569886436,,2924
11,Lung,39200,Japan,2,1,1970,5.210807471,5.613760392,,2987
11,Lung,39200,Japan,2,1,1971,5.224143786,5.721673661,,3087
11,Lung,39200,Japan,2,1,1972,5.632086344,6.308201473,,3452
11,Lung,39200,Japan,2,1,1973,5.655121982,6.487146539,,3600
11,Lung,39200,Japan,2,1,1974,5.657331158,6.632492674,,3730
11,Lung,39200,Japan,2,1,1975,5.965376167,7.110225409,,4048
11,Lung,39200,Japan,2,1,1976,6.244480296,7.693848146,,4429
11,Lung,39200,Japan,2,1,1977,6.387118957,8.071583335,,4693
11,Lung,39200,Japan,2,1,1978,6.696689484,8.714532191,,5113
11,Lung,39200,Japan,2,1,1979,6.691925585,8.995876786,,5323
11,Lung,39200,Japan,2,1,1980,7.080709429,9.816839994,,5856
11,Lung,39200,Japan,2,1,1981,7.195817786,10.24826791,,6161
11,Lung,39200,Japan,2,1,1982,7.462506154,10.99873319,,6661
11,Lung,39200,Japan,2,1,1983,7.537291575,11.49027375,,7007
11,Lung,39200,Japan,2,1,1984,7.756738961,12.18587085,,7479
11,Lung,39200,Japan,2,1,1985,7.725233181,12.55837079,,7753
11,Lung,39200,Japan,2,1,1986,7.807218329,13.03132119,,8088
11,Lung,39200,Japan,2,1,1987,7.951725921,13.78278223,,8596
11,Lung,39200,Japan,2,1,1988,8.068297434,14.45442272,,9055
11,Lung,39200,Japan,2,1,1989,8.15107962,15.27091883,,9606
11,Lung,39200,Japan,2,1,1990,7.922608951,15.2245598,,9614
11,Lung,39200,Japan,2,1,1991,8.098502407,16.14246315,,10231
11,Lung,39200,Japan,2,1,1992,8.365068497,17.20171874,,10940
11,Lung,39200,Japan,2,1,1993,8.221446882,17.43764783,,11126
11,Lung,39200,Japan,2,1,1994,8.382967121,18.36176378,,11751
11,Lung,39200,Japan,2,1,1995,8.500560797,19.25333912,,12356
11,Lung,39200,Japan,2,1,1996,8.625576197,20.23286067,,13018
11,Lung,39200,Japan,2,1,1997,8.51751117,20.61294788,,13294
11,Lung,39200,Japan,2,1,1998,8.6230036,21.6459161,,13991
11,Lung,39200,Japan,2,1,1999,8.51418172,21.98685383,,14241
11,Lung,39200,Japan,2,1,2000,8.453661558,22.60568771,,14671
11,Lung,39200,Japan,2,1,2001,8.346968431,23.26846195,,15130
11,Lung,39200,Japan,2,1,2002,8.073419891,23.42430126,,15259
11,Lung,39200,Japan,2,1,2003,7.60683851,23.11951319,,15086
11,Lung,39200,Japan,2,1,2004,7.909384287,24.48260041,,16000
11,Lung,39200,Japan,2,1,2005,8.028338424,25.78371578,,16873
11,Lung,39200,Japan,2,1,2006,8.025551702,26.42732673,,17314
11,Lung,39200,Japan,2,1,2007,7.991801888,27.32963941,,17922
11,Lung,39200,Japan,2,1,2008,8.024873568,27.7931562,,18239
11,Lung,39200,Japan,2,1,2009,7.824677453,28.24930051,,18547
11,Lung,39200,Japan,2,1,2010,7.931291958,29.5685072,,19417
11,Lung,39200,Japan,2,1,2011,7.832758927,29.71400842,,19511
11,Lung,39200,Japan,2,1,2012,7.802387057,30.69079471,,20145
11,Lung,39200,Japan,2,1,2013,7.80454622,31.52672976,,20680
11,Lung,39200,Japan,2,1,2014,7.784939152,31.87610397,,20889
11,Lung,39200,Japan,2,1,2015,7.582288769,32.34456754,,21169
11,Lung,39200,Japan,2,1,2016,7.436815189,32.76167265,,21408
11,Lung,39200,Japan,2,1,2017,6.98402841,32.37631893,,21116
11,Lung,39200,Japan,2,1,2018,7.133985375,33.69460593,,21927
