Year,sex,smoker
1965,1,82.3
1965,2,15.7
1966,1,83.7
1966,2,18
1967,1,82.3
1967,2,17.7
1968,1,78.5
1968,2,15.4
1969,1,79.1
1969,2,15.4
1970,1,77.5
1970,2,15.6
1971,1,77.4
1971,2,14.7
1972,1,77.6
1972,2,15.5
1973,1,78.3
1973,"2
",15.1
1974,1,78.8
1974,2,16.7
1975,1,76.2
1975,2,15.1
1976,1,75.1
1976,2,15.4
1977,1,75.1
1977,2,15.1
1978,1,74.7
1978,2,16.2
1979,1,73.1
1979,2,15.4
1980,1,70.2
1980,2,14.4
1981,1,70.8
1981,2,15.3
1982,1,70.1
1982,2,15.4
1983,1,66.1
1983,2,13.5
1984,1,65.5
1984,2,14
1985,1,64.6
1985,2,13.7
1986,1,62.5
1986,2,12.6
1987,1,61.6
1987,2,13.4
1988,1,61.2
1988,2,13.1
1989,1,61.1
1989,2,12.7
1990,1,60.5
1990,2,14.3
1991,1,61.2
1991,2,14.2
1992,1,60.4
1992,2,13.3
1993,1,59.8
1993,2,13.3
1994,1,59
1994,2,14.8
1995,1,58.8
1995,2,15.2
1996,1,57.5
1996,2,14.2
1997,1,56.1
1997,2,14.5
1998,1,55.2
1998,2,13.3
1999,1,54
1999,2,14.5
2000,1,53.5
2000,2,13.7
2001,1,52
2001,2,14.7
2002,1,49.1
2002,2,14
2003,1,48.3
2003,2,13.6
2004,1,46.9
2004,2,13.2
2005,1,45.8
2005,2,13.8
2006,1,41.3
2006,2,12.4
2007,1,40.2
2007,2,12.7
2008,1,39.5
2008,2,12.9
2009,1,38.9
2009,2,11.9
2010,1,36.6
2010,2,12.1
2011,1,33.7
2011,2,10.6
2012,1,32.7
2012,2,10.4
2013,1,32.2
2013,2,10.5
2014,1,30.3
2014,2,9.8
2015,1,31
2015,2,9.6
2016,1,29.7
2016,2,9.7
2017,1,28.2
2017,2,9
2018,1,27.8
2018,2,8.7
